Burger Name,Burger Description,Restaurant,Price,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Venison,Vegetarian,Sweet,Not Your Usual,Finalist,Winner
The Big Ring,"Double beef patty with double American cheese, white onion, burger-flavoured ring-shaped corn chips and housemade secret sauce in a Brezelmania tomato and milk Burger Ring-flavoured bun.",1154 Pastaria,23,2021,Yes,,,,,,,,,,,
Baa Baa Black Sheep,"Lamb shoulder with cauliflower crisp, buttercrunch, hummus, mint and black garlic labneh in a Shelly Bay Baker milk bun, with spiced pita bread chips and Zany Zeus Tzatziki.",1815 Café & Bar,25,2021,,,,Yes,,,,,,,,
The Bull,"Slow-cooked pulled beef brisket with housemade beetroot chutney, carrot slaw, Shoots NZ microgreens and cheese sauce in a brioche bun, with fennel salt shoestring fries.",7 Bar and Eatery,22,2021,Yes,,,,,,,,,,,
The Spice of Amador,"Prime beef patty with housemade jalapeño relish, cheddar, tomato, red onion rings, lettuce, Dijon mustard mayonnaise and ketchup in a Pandoro sesame bun.",Amador,18,2021,Yes,,,,,,,,,,,
Duck a l'Orange,"Slow-roast duck with spiced blood orange compote, Drunken Nanny goat cheese crumbs, iceberg, Asian herbs, hot and sour chilli pickles and housemade BBQ sauce in a tangzhong bun, with spicy kūmara crisps.",Apachè,28,2021,,,Yes,,,,,,,,,
Fire and Ice,"Seasoned parmesan and breadcrumb crusted free range chicken thigh with melted cheddar, Kāpiti vanilla ice cream, mānuka, lettuce, Japanese mayonnaise and Rocket Smallgoods Boost hot sauce in a Pandoro brioche bun, with kūmara fries.",Arashi Kushiyaki Bar,23,2021,,Yes,,,,,,,,,,
The Southland,"Venison patty with Waikanae Butchery lamb bacon, smoked cheddar, cos lettuce, pickles and smoky BBQ sauce in a Brezelmania potato brioche bun, with Kāpiti Pakari cheese rolls.

Vegetarian alternative: crumbed portobello mushroom patty.",Arborist Rooftop Bar & Eatery,25,2021,,,,,,,Yes,,,,,
"Brekkie for Dinner, Always a Winner!","Houseground beef patty with Cameron Harrison black pudding steak, bacon, a fried egg, aioli and Shooting Star's Eggplant Relish in a Zaida's challah bun, with handcut fries and BBQ plum sauce.",Arcimboldi,24,2021,Yes,,,,,,,,,,,
The Big Daddy,"Te Aro Brewing Company beer-braised pork belly with crème fraîche crab slaw and apple mayonnaise in a Dough Bakery potato and Te Aro Brewing Company grain bun, with lemon pepper and paprika skinny fries.",Aro Bar,26,2021,,,,,Yes,,,,,,,
The Kaitoke Lamb,"Garage Project Aro Noir and Havana Coffee lamb flap with aged cheddar, kimchi, red onion, coriander slaw and burnt garlic aioli in a sesame brioche bun with prickly ash and paprika fries",Aston Norwood Cafe,26,2021,,,,Yes,,,,,,,,
The Baller,"Buttermilk fried chicken with caviar, housemade seaweed hot sauce and Zany Zeus crème fraîche in a housemade potato bun.",Atlas,35,2021,,Yes,,,,,,,,,,
"Triple ""B""","Beef patty with lettuce, tomato and housemade secret triple ""B"" sauce in an Arobake potato bun topped with a dill pickle, with fries and chocolate doubloons.",BambuchiSan,18,2021,Yes,,,,,,,,,,,
Dwaejigogi,"Spicy Korean-style Island Bay Butchery pork belly with kimchi, slaw and apple chutney in a Zaida's spirulina bun.",Baobab Cafe,18,2021,,,,,Yes,,,,,,,
Golden Nugget,"Organic chicken nugget patty with shredded iceberg, bread and butter zucchini and ranch dressing in a Baker Gramercy sesame milk bun.

Vegetarian alternative: Broadbean falafel patty.",Bar Mason,18,2021,,Yes,,,,,,,,,,
The Comeback [Short]Rib,"Island Bay Butchery nine-hour smoked beef short rib with Jack Daniel's barbecue sauce, molten cheddar, onion strings, Island Bay Butchery bacon comeback sauce, root vegetable slaw, mustard and housemade dill pickles in a Zaidas' coffee milk bun, with waffle fries.

Vegetarian/vegan alternative: Seitan smoked 'beef' rib, facon comeback sauce, dairy-free cheddar, Zaidas' coffee soy milk bun.",Beach Babylon,25,2021,Yes,,,,,,,,,,,
For Cluck's Sake,"Korean-style fried chicken with Prana Greens micro-coriander, cabbage and carrot kimchi slaw, fried egg, lettuce, cucumber ribbons, Sriracha sour cream and aioli in a Zaida's activated charcoal bun, with gochugaru-seasoned shoestring fries topped with spring onion and Prana Greens micro-coriander, and aioli.

Vegetarian/vegan alternative: Korean-style fried hemp 'chicken', tapioca, tofu and pumpkin 'fried egg', vegan Sriracha sour cream.",Bebemos,24,2021,,Yes,,,,,,,,,,
